Gene,X5EGGE,X5EQMM,X5GICA,X5N9D6,X5P9GB,X5N9ES,X5P9GS,X5N9E1
PPP1R2P3,2,0,3,2,3,0,6,3
TIMD4,18,50,16,16,8,0,10,0
APOOP1,0,0,0,0,0,0,0,0
HAVCR1,0,7,27,34,7,4,3,1
HAVCR2,26,199,1371,2088,290,155,335,36
CTB-120L21.1,0,0,0,2,0,0,1,3
MED7,282,474,533,429,478,289,906,595
FAM71B,0,0,0,0,2,2,0,0
ITK,14,107,753,2477,142,36,177,21
CTB-4E7.1,0,0,0,7,0,0,0,0
CTC-248O19.1,0,0,0,0,0,0,0,0
CYFIP2,1273,2307,2656,3152,1345,659,1050,1058
FNDC9,2,16,2,12,6,3,2,0
CTB-109A12.1,13,1,15,17,0,5,16,4
CTB-47B11.3,3,12,6,64,2,3,11,4
ADAM19,1074,563,1286,5589,295,117,1173,1079
CTB-47B11.1,0,0,0,0,0,0,0,0
NIPAL4,5,4,20,176,14,3,2,7
AC106801.1,0,0,0,5,0,0,2,0
RNU6-390P,0,0,0,0,0,0,0,0
AC008694.2,0,0,0,0,0,1,0,1
SOX30,3,1,8,9,2,2,23,24
C5orf52,0,0,0,0,0,0,3,0
AC008694.3,0,1,0,0,2,0,1,0
THG1L,473,479,574,397,1088,465,2203,1258
LSM11,127,440,445,580,698,406,1655,1246
CTC-370J7.1,1,0,0,0,0,0,1,1
CLINT1,3833,8906,4525,4223,6079,2944,6795,4032
RNU6-260P,0,0,0,1,0,0,0,0
CTB-47B8.1,0,0,4,0,2,2,3,2
RNU2-48P,0,0,0,0,0,0,0,0
MARK2P11,0,0,0,0,0,0,0,0
CTB-47B8.5,1,0,0,0,0,0,1,9
CTB-47B8.4,0,0,0,0,0,0,0,0
CTC-436K13.5,0,0,0,0,0,0,0,0
CTC-436K13.1,0,0,0,0,0,0,2,4
CTC-436K13.4,0,0,0,0,0,0,0,0
CTC-436K13.6,0,0,0,0,0,0,0,0
CTC-436K13.3,0,0,0,0,0,0,0,0
CTC-436K13.2,0,0,0,0,0,0,0,0
RP11-524N5.1,0,0,0,0,0,2,0,0
RP11-542A14.1,0,0,0,0,0,0,1,0
RP11-542A14.2,0,0,0,0,0,0,0,0
RP11-32D16.1,0,0,0,0,0,0,0,0
EBF1,16,68,1256,815,499,209,2533,2229
CTD-2363C16.1,0,0,2,0,0,0,1,2
CTD-2363C16.2,0,0,0,0,0,0,0,0
LINC02202,0,0,126,25,35,26,54,27
RP11-175K6.2,0,1,88,18,20,10,41,23
RNF145,717,1289,12633,7575,1868,1304,6970,6598
CTB-11I22.1,0,0,3,0,0,0,0,0
LINC01932,0,0,4,6,0,0,0,0
SNORA68,0,0,0,0,0,0,0,0
UBLCP1,592,748,2003,1112,1809,919,2396,1598
AC008697.1,0,0,2,5,0,2,2,2
IL12B,0,2,5,11,0,0,2,1
RNU4ATAC2P,0,0,0,0,0,0,0,0
LINC01845,0,0,0,0,0,0,0,0
CTB-76P12.1,12,4,10,1,0,2,0,0
AC008691.1,0,0,0,0,0,0,0,0
LINC01847,19,37,7,2,0,0,2,2
ADRA1B,535,1037,590,119,69,12,102,374
GAPDHP40,38,8,9,0,0,0,8,7
TTC1,1021,1581,2270,1022,1760,993,2973,2317
AC068657.2,0,3,0,2,0,0,6,8
PWWP2A,581,826,1235,601,977,817,2359,1972
FABP6,0,2,1,503,3,0,0,0
CTB-127C13.1,0,0,0,82,0,0,2,0
RP11-34P1.1,0,0,2,1,0,0,3,2
CCNJL,19,44,1007,730,51,5,1404,1394
RP11-34P1.2,4,2,5,0,0,4,8,8
RP11-34P1.4,0,0,0,0,0,0,0,0
C1QTNF2,0,32,135,77,36,19,158,83
ZBED8,147,162,239,194,266,182,2016,1699
SLU7,563,1172,3384,1474,2314,1554,4150,2334
PTTG1,20,6,154,134,60,30,282,45
MIR3142HG,2,6,76,68,2,0,0,2
MIR3142,0,0,0,0,0,0,0,0
ATP10B,0,2,8,16,616,485,4,10
CTC-348L5.1,0,0,2,2,0,0,0,0
CTC-529G1.1,0,0,0,0,0,0,0,0
LINC02159,0,0,0,0,38,9,2,0
GABRB2,0,2,241,96,17,2,6,8
GABRA6,0,0,4,0,4,0,2,2
RP11-348M17.2,0,0,0,0,0,0,0,0
GLRXP3,2,0,8,0,0,0,0,0
GABRA1,2,0,2,0,1,0,2,2
LINC01202,0,0,0,0,0,0,0,0
GABRG2,2,2,0,0,6,10,2,0
RP11-96G10.1,0,0,0,0,0,0,0,0
RNU6-164P,0,0,0,0,0,0,0,0
RP11-167P20.1,0,2,0,2,0,0,0,0
ARL2BPP5,0,0,0,0,0,0,0,0
RP11-541P9.3,4,16,0,6,0,0,3,2
MRPL57P6,0,0,0,0,0,0,0,0
CTB-95B16.1,0,0,0,0,0,0,0,0
CCNG1,2202,4150,3174,3332,16669,6054,18951,13972
NUDCD2,1083,1597,1192,803,2112,1113,2028,1330
HMMR,5,54,51,34,34,31,238,27
HMMR-AS1,0,0,0,0,0,0,0,1
MAT2B,1422,3840,3973,3211,1989,1231,9892,5949
RP11-756G12.1,0,0,0,0,0,0,0,3
RNU6-168P,0,0,0,0,0,0,0,0
