Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,regulation
SCGB1B2P,69.17360416747825,-2.0407076699586657,0.7675301617067325,-2.6587980144269627,0.00784199616094971,0.04925089942781326,down
CTC-523E23.11,25.695196110089775,-2.48757804765311,1.205868873361704,-2.0628926598945,0.039122827663916504,0.14507693136776365,down
HPN,24592.2028398279,-9.358550834822474,1.6214312836841214,-5.77178381162014,7.843670963712357e-09,7.521962504260847e-07,down
HPN-AS1,169.157230122161,-9.68108596781038,2.383027246737817,-4.062515852919034,4.854664966052453e-05,0.001079665637480663,down
CTD-2527I21.15,28.017776446160017,-8.504396218498782,3.104052247850226,-2.739772252348095,0.0061481771157773394,0.041788928869268355,down
FXYD3,1049.878790408647,-7.0523198199012915,1.769041035295569,-3.986521329463112,6.704910277258944e-05,0.0013871496858280487,down
LSR,6515.0433053923425,-4.388851433443891,0.8662146494888325,-5.066701926634264,4.0476734580313313e-07,2.201537361213672e-05,down
AC002128.5,7.968557668611574,-1.7589095492730038,0.7641192074277835,-2.301878466311472,0.021342026901132904,0.09758267865585217,down
FFAR2,548.2741582604082,-6.9908540742835745,2.1878502875216213,-3.19530733622672,0.001396820086277459,0.014155994658098633,down
SBSN,40.97214564594501,-2.258401813004759,1.1296143578736886,-1.9992679778396456,0.045579366948247206,0.1599510347341915,down
ATP4A,288.89022635752355,-5.442788258949265,1.999881544995619,-2.7215553203983327,0.00649755088853809,0.04328749655799665,down
IGFLR1,1647.2834914746002,-2.6353799306303602,1.0831640000771936,-2.433038699996072,0.014972700487019635,0.07705618839702251,down
PSENEN,1664.8180637116666,-1.4265142212442217,0.3510670666771461,-4.063366680179361,4.836995420683769e-05,0.0010776149885259585,down
PRODH2,2942.898798330695,-10.386865957186679,2.733128080866098,-3.800358289061666,0.00014448702742453343,0.0025613061727396964,down
NPHS1,564.8162585686862,-11.629249397707564,3.0265349490378317,-3.8424302357402573,0.00012182204745787189,0.0022340464475937125,down
KIRREL2,2128.590283865013,-11.253962654121699,3.2419798781168905,-3.4713240295182164,0.0005178986469096722,0.006792327292554669,down
APLP1,1251.6678959266558,-3.9913405708364107,1.9905580989165437,-2.0051364353589523,0.04494846325106409,0.15866291452510004,down
HCST,81.03925878553035,-2.524050713552212,1.2253238071525963,-2.0599050624973927,0.039407617650824935,0.145815044771525,down
TYROBP,2248.295543789834,-3.504690375245106,1.466619395423107,-2.389638638478549,0.016864957312973102,0.0832285515346946,down
SDHAF1,1120.690660346966,-1.2906053078152997,0.49690388907200167,-2.5972936340377286,0.009396156203241121,0.05601070994626766,down
SYNE4,507.1966585664502,-3.3570700412793864,0.9595239997885876,-3.4986827239538054,0.00046756259360462014,0.006310610687968389,down
